school.id,school.name,teachers.n,teachers.ftte
1450,Pukekohe East School,10,9.6
1451,Pukekohe Hill School,34,27.1
1452,Pukekohe Intermediate,37,32.96
1453,Pukekohe North School,22,21.28
1454,Pukeoware School,10,9.87
1455,Puni School,13,11.52
1456,Ramarama School,20,18.1
1457,Rangeview Intermediate,44,42.9
1458,Ranui School,32,28.3
1459,Redhill School,12,11.4
1460,Redoubt North School,39,36.8
1461,Remuera Intermediate,46,44.5
1462,Remuera School,40,35.81
1463,Richmond Road School,23,20
1464,Riverhead School,16,15
1465,Riverhills School,5,5
1466,Riverina School,16,15.2
1467,Robertson Road School,28,27.4
1468,Rongomai School,14,14
1470,Roscommon School,33,32.6
1471,Rosebank School (Auckland),28,25.7
1472,Rosehill School,33,29.6
1473,Rosehill Intermediate,31,28.28
1474,Rowandale School,23,23
1475,Royal Oak School,49,40.7
1476,Royal Road School,17,16.1
1477,Ruapotaka School,14,11
1478,Rutherford School,13,12.6
1479,Sandspit Road School,20,19.2
1480,Shelly Park School,27,22.6
1481,Sherwood School (Auckland),25,23.1
1482,Silverdale School,18,14.58
1483,Sir Keith Park School,34,32.5
1484,Sommerville School,46,40.82
1486,St Anne's School (Manurewa),37,31.8
1487,St Dominic's School (Blockhouse Bay),15,13.8
1488,St Francis School (Pt.Chevalier),15,13.9
1489,St Heliers School,40,35.27
1490,St Ignatius School (St Heliers),14,11.2
1491,St John The Evangelist School (Otara),13,13
1492,St John's School (Mairangi Bay),18,15.7
1493,St Joseph's School (Grey Lynn),7,8
1494,St Joseph's School (Onehunga),16,15.4
1495,St Joseph's School (Orakei),9,6.6
1496,St Joseph's School (Otahuhu),17,16.8
1497,St Joseph's School (Pukekohe),18,17
1498,St Joseph's School (Takapuna),20,18.16
1499,St Leonards Road School,26,23.9
1500,St Leo's Catholic School (Devonport),6,6
1501,St Mark's School (Pakuranga),17,13.74
1502,St Mary's School (Papakura),16,15.4
1503,St Mary's School (Avondale),20,18.7
1504,St Mary's School (Ellerslie),20,18.1
1505,St Mary's School (Northcote),24,22.18
1506,St Michael's School (Remuera),15,13.4
1507,St Patrick's School (Panmure),8,8
1508,St Pius X School (Glen Innes),12,10.2
1509,St Therese School (Three Kings),10,10.6
1510,St Thomas School (Auckland),37,32.88
1511,Stanhope Road School,33,28.04
1512,Stanley Bay School,18,14.94
1513,Stanmore Bay School,23,20.2
1514,Star of the Sea School (Howick),28,25.2
1515,Sunny Hills School,33,26.92
1516,Sunnybrae Normal School,23,20.2
1517,Sunnydene Special School,20,19
1518,Sunnynook School,23,21.56
1519,Sunnyvale School,22,21.1
1520,Sutton Park School,38,37.6
1521,Swanson School,24,21.2
1522,Sylvia Park School,19,19
1523,Takanini School,23,22.2
1524,Takapuna Normal Intermediate,33,31.9
1525,Takapuna School,21,18.7
1526,Tamaki School,12,12
1527,Tamaki Intermediate,14,12.8
1528,Target Road School,23,20.3
1529,Taupaki School,18,16.8
1530,Te Atatu Intermediate,24,21
1531,Peninsula Primary School,24,21.5
1532,Te Hihi School,14,12.5
1533,Te Kohanga School,4,4
1534,Te Papapa School,15,14.1
1535,Three Kings School,27,25.4
1536,Tirimoana School,34,32.2
1537,Titirangi School,26,24.8
1538,Torbay School,34,30.5
1539,Tuakau School,12,11.2
1540,Valley School,26,22.1
1541,Vauxhall School,19,18
1543,Verran Primary School,17,14.14
1544,Victoria Avenue School,31,27.01
1545,View Road School,17,15.8
1546,Viscount School,41,40.5
1547,Waiau Pa School,18,16.9
1548,Waikowhai Intermediate,24,22.6
1549,Waikowhai School,10,9.3
1550,Waimauku School,31,28.48
1551,Waimokoia Residential School (Closed),.,
1552,Wainui School,11,11
1553,Waioneke School,5,5
1554,Waipipi School,7,7
1555,Wairau Intermediate,18,16.6
1556,Wairau Valley School,24,23.42
1557,Waitakere School,28,24.1
1558,Waitoki School,6,6
1559,Waiuku Primary School,19,19
1560,Wakaaranga School,36,33.6
1561,Warkworth School,29,27.64
1562,Waterlea Public School,23,20.2
1563,Waterview School,12,10
1564,Wesley Intermediate,9,8.8
1565,Wesley School,13,11.7
1566,West Harbour School,25,23.6
1567,Western Heights School (Auckland),34,31.4
1568,Westmere School (Auckland),34,28.4
1569,Weymouth Intermediate,24,24
1570,Weymouth School,34,32.4
1571,Whangaparaoa School (Auckland),39,35
1572,Whenuapai School,25,23.2
1573,Willowpark School,39,32.9
1574,Wilson School,25,19.5
1575,Windy Ridge School,13,11.8
1576,Wiri Central School,26,25.4
1577,Woodhill School,9,7.5
1578,Woodlands Park School,20,15.7
1579,Wymondley Road School,16,15
1580,Yendarra School,19,18.2
1581,Chapel Downs School,43,39.94
1584,TKKM o Te Raki Paewhenua,9,9
1588,St Francis Xavier Catholic School (Whang,27,23.9
1589,TKKM o Toku Mapihi Maurea,7,6.4
1592,Marina View School,36,32.06
1593,Kaitoke School (Claris),4,3.1
1594,Riverview School,19,18.4
1607,Bishop Edward Gaines Catholic School,3,2.7
1608,St Matthew's Primary School (Hastings),8,7.14
1611,Timaru Christian School,5,4.7
1613,Te Ra School,14,10.99
1616,TKKM o Ngati Kahungunu o Te Wairoa,8,7.2
1617,TKKM o Ngati Rangi,3,3
1618,TKKM o Te Whanau Tahi,14,12.4
1619,Te Kura Akonga O Manurewa,6,5.3
1625,Ascot Community School,17,14.4
1627,St Paul's School (Richmond),12,10.3
1630,Central Regional Health School,32,27.53
1631,Southern Regional Health School,15,14
1632,Felix Donnelly College,1,1
1633,Mary MacKillop School,16,16
1634,Te Kura Maori o Porirua,21,19.24
1635,Discovery One School,10,9.2
1636,St Thomas More Catholic School,10,9.16
1643,St Paul's School (Massey),23,20.7
1645,Te Kura o Torere,4,3.8
1646,Wainuiomata Intermediate,28,26.32
1647,Konini Primary School (Wainuiomata),14,14
1648,Manaia View School,17,16.38
1650,Drummond Primary School,6,5.08
1651,TKKM o Wairarapa,6,6
1657,Silverstream (South) Primary School,21,16.86
1658,Putaruru Primary School,14,12.3
1659,Lakeview School,25,22.22
1660,Masterton Primary School,18,14.7
1661,Douglas Park School,24,21.7
1662,Huia Range School,14,13.6
1663,Stella Maris Primary School,22,19.66
1666,Te Kura o Waikare,5,3.32
1667,Whangaruru School,2,2
1668,Wairoa Primary School,12,11.2
1669,Tiaho Primary School,13,11.6
1670,TKKM o Te Ara Whanui,17,15.35
1672,TKKM o Nga Uri A Maui,10,9.4
1673,TKKM o Te Waiu o Ngati Porou,13,13
1674,TKK o Te Wananga Whare Tapere o Takitimu,4,3.7
1675,Ruakituri School,1,1
1676,Te Mahia School,6,4.3
1677,Mohaka School,3,2.8
1678,Te Kura o Waikaremoana,3,3
1679,Rahotu School,8,8
1680,Aberdeen School,35,32.25
1681,Allandale School,28,23.17
1682,Amisfield School,13,12.8
1683,Aorangi School (Rotorua),9,8.14
1684,Apanui School,23,20
1686,Arataki School,22,21.4
1687,Aria School,4,3.4
1688,Arohena School,4,4
1689,Ashbrook School,9,8.5
1691,Awakeri School,21,18.72
1693,Bankwood School,17,15.8
1694,Bellevue School (Tauranga),16,13.9
1695,Berkley Normal Middle School,36,36
1696,TKKM o Bernard Fergusson,9,9
1697,Bethlehem School,25,23.2
1698,Broadlands School,6,5.2
1699,Brookfield School,18,17.3
1700,Cambridge East School,20,17.64
1701,Cambridge Middle School,29,27
1702,Cambridge School,15,13.2
1704,Cargill Open Plan School,7,6.4
1705,Centennial Park School,7,6.44
1706,Colville School,4,2.46
1707,Coroglen School,3,2.9
1708,David Henry School,11,9.62
1709,David Street School,25,22.7
1710,Deanwell School,20,18.46
1711,Edgecumbe School,14,13.1
1713,Elstow-Waihou Combined School,8,7.3
1715,Fairfield Intermediate,40,39.8
1716,Fairfield Primary School,21,20.08
1717,Fairhaven School,27,24.26
1718,TKKM o Te Ara Rima,14,12.96
1719,Firth School,18,16.6
1720,Forest Lake School,18,15.7
1721,Frankton School,35,31.4
1722,Galatea School,7,6.83
1723,Glen Massey School,8,7.4
1724,Glenholme School,23,22.6
1725,Glenview School (Hamilton),25,23.44
1726,Goldfields School (Paeroa),16,14.4
1727,Goodwood School,19,16.9
1728,Gordonton School,13,11.24
1729,Greenpark School (Tauranga),44,39.44
1730,Greerton Village School,18,17.26
1731,Hamilton East School,18,17.29
1732,Hamilton North School,27,25.1
1733,Hamilton West School,29,26.84
1734,Hangatiki Primary School,3,2.4
1735,Hautapu School,10,9.8
1736,Hauturu School,4,3.5
1737,Hikuai School,6,5.8
1738,Hikutaia School,6,6
1739,Hillcrest Normal School,34,27.04
1740,Hilltop School,32,26.62
1741,Hinuera School,9,9
1744,Horahora School (Cambridge),4,3.6
1745,Horohoro School,6,4.04
1746,Horotiu School,14,11.86
1747,Horsham Downs School,17,15.25
1748,TKKM o Huiarau,11,9.4
1749,Hukanui School,36,31.47
1750,St Patrick's Catholic School (Taupo),15,13.5
1751,Huntly School (Waikato),15,14.4
1752,Huntly West School,12,12
1753,Insoll Avenue School,18,17.8
1754,Rangitaiki School,2,1.2
1755,James Street School,17,15.6
1756,Kaharoa School,12,11.66
1757,Kaihere School,4,3.7
1758,Kaimai School,5,4.8
1759,Kaingaroa Forest School,5,4.8
1760,Kaipaki School,4,3.5
1761,Kaitao Intermediate,32,29.49
1762,Kaka Street Special School,18,14.8
1763,Karangahake School,3,3
1764,Karapiro School,4,3.6
1765,Katikati Primary School,31,26.45
1766,Kawaha Point School,17,16.54
1767,Kawerau Central School,7,7
1768,Kawerau Intermediate,10,9.3
1769,Kawerau North School,10,10
1770,Kawerau South School,13,13
1771,Kawhia School,5,4.44
1772,Kea Street Specialist School,13,12
1773,TKKM o Harataunga,1,1
1774,Kereone School,3,2.5
1775,Kerepehi School,4,3.8
1776,Kihikihi School,9,7.7
1777,Kimihia School,20,17.7
1778,Kinohaku School,3,2.2
1779,Kio Kio School,8,7.4
1780,Kiwitahi School,3,2.5
1781,Knighton Normal School,39,34.44
1782,Kopuarahi School,3,2.4
1783,Korakonui School,7,6.2
1784,Koromatua School,11,10.8
1785,Kuratau School,4,4
1786,Kutarere School,3,2.5
1787,Lake Rerewhakaaitu School,5,4.9
1788,Lake Rotoma School,4,3.6
1789,Leamington School,21,18.44
1790,Lichfield School,4,4
1791,Lynmore Primary School,36,33.24
1792,Maeroa Intermediate,32,30.4
1793,Maihiihi School,5,4.6
1794,Maketu School,7,6.42
1796,Malfroy School,21,20.75
1797,Mamaku School,9,7.8
1798,Manaia School (Thames),10,10
1799,Manawahe School (Closed),.,
1800,Manawaru School,5,5
1805,Mapiu School,3,2
1806,Te Kura Mana Maori Maraenui,4,4
1808,Marotiri School,7,6.2
1809,Te Kura Mana Maori o Matahi,2,1.2
1811,Te Kura o Te Moutere O Matakana,3,3
1812,Matamata Intermediate,23,19.6
1813,Matamata Primary School,25,23.42
1814,Matangi School,4,3.6
1815,Te Kura o Matapihi,7,7
1818,Matata School,5,5
1819,Matatoki School,4,3.9
1820,Matua School,27,19.12
1821,Maungatapu School,32,26.45
1822,Maungatautari School (Closed),.,
1823,Melville Intermediate,20,18.47
1824,Melville Primary School,15,14.27
1825,Merivale School,16,14.42
1826,Mihi School,4,4
1827,Miller Avenue School,16,14.34
1829,Moanataiari School,6,4.9
1832,Mokoia Intermediate,18,15.94
1833,Morrinsville Intermediate,25,20.7
1834,Morrinsville School,15,13
1835,Motumaoho School,3,2.4
1836,Mountview School,24,22
1837,Mt Maunganui Intermediate,29,28
1838,Mt Maunganui School,23,22.8
1839,Murupara School,14,14
1841,Nawton School,26,24.2
1842,Netherton School,6,4.8
1843,Newstead Model School,8,7.12
1844,Ngahinapouri School,9,7.3
1845,Ngakonui Valley School,6,5.2
1846,Ngakuru School,3,2.5
1847,Ngapuke School,7,7
1849,Ngaruawahia School,14,13.5
1850,Ngatea School,15,14.8
1851,Ngati Haua School,3,3
1852,Ngongotaha School,20,18.02
1853,Ngutunui School,3,2.76
1854,Nukuhou North School,4,4
1855,Ohaupo School,10,8.7
1856,Ohinewai School,7,7
1857,Ohope Beach School,18,17
1858,Kuranui Primary School,4,3.8
1859,Te Kura o Omaio,3,2.6
1860,Omanu School,29,25.46
1861,Omarumutu School,7,7
1862,Omokoroa Point School,11,9.16
1863,Omokoroa School,19,13.74
1865,Te Wharekura o Oparure,13,10.76
1866,Opotiki School,20,19.53
1867,Opoutere School,8,6
1869,Orini Combined School,7,6.3
1870,Oropi School,9,7.7
1871,Otakiri School,11,9.5
1872,Otamarakau School,4,3.6
1873,TKKM o Otepou,5,4.4
1874,Otewa School,4,4.01
1875,Otonga Road School,29,27.3
1876,Otorohanga School,6,6
1877,Otorohanga South School,23,20.2
1878,Otumoetai Intermediate,43,40.56
1879,Otumoetai School,31,27.46
1880,St Mary's Catholic School (Otorohanga),4,2.61
1881,Owhata School,15,14.4
1882,Paengaroa School,11,10.79
1883,Paeroa Central School,9,6.6
1884,Pahoia School,11,10.76
1885,Papamoa School,30,27.74
1886,Parawai School,20,17.36
1887,Parawera School,2,1.2
1888,Te Kura o Te Paroa,17,15.4
1889,Paterangi School,8,6.66
1891,Patricia Avenue School,34,33.2
1892,Peachgrove Intermediate,38,41
1893,Pekerau School,18,16.8
1894,Pillans Point School,25,21.16
1895,Piopio Primary School,9,8.35
1896,Piri Piri School,2,1.4
1897,Pirongia School,20,15.5
1898,Pokuru School,10,7.96
1899,Pongakawa School,16,15.7
1902,Puahue School,8,6.64
1903,Pukeatua School,4,4
1904,Pukehina School,3,3
1905,Pukemiro School,3,2.3
1906,Pukenui School (Te Kuiti),13,12.4
1907,Puketaha School,17,13.66
1908,Pukete School,22,21.04
1911,Puriri School,3,2
1912,Te Puru School,11,8.6
1915,Putauaki School,17,16.6
1916,Pyes Pa Road School,12,9.8
1917,Te Wharekura o Rakaumangamanga,35,34
1919,Rangiriri School,2,1.3
1920,Rangitoto School,2,1.5
1921,Rangiuru School,5,4.7
1922,Raukokore School,4,2.3
1923,Reporoa School,8,7.2
1924,Rhode Street School,13,13
1927,Roto-O-Rangi School,7,6.3
1929,TKKM o Rotoiti,8,7.2
1930,Rotokauri School,9,8.6
1931,Rotokawa School,13,13
1933,Rotorua Intermediate,41,40.4
1934,Rotorua School,14,13.3
1937,Ruawaro Combined School,5,4.2
1938,Rukuhia School,7,5.2
1939,Selwyn School,28,25.8
1940,Silverdale Normal School,19,16.9
1941,Springdale School,5,4
1942,St Andrew's Middle School (Hamilton),15,15
1943,St Anthony's Catholic School (Huntly),5,5
1944,St Columba's Catholic School (Frankton),25,21.16
1945,St Francis School (Thames),6,5.8
1946,St Joseph's Catholic School (Fairfield),22,19.3
1947,St Joseph's Catholic School (Matamata),4,2.8
1948,St Joseph's Catholic School (Matata),2,2
1949,St Joseph's Catholic Sch (Morrinsville),8,8
1950,St Joseph's Catholic School (Opotiki),14,11.4
1951,St Joseph's Catholic School (Paeroa),4,3.6
1952,St Joseph's Catholic School (Te Aroha),6,6
1953,St Joseph's Catholic School (Te Kuiti),7,6.4
1954,St Joseph's Catholic School (Waihi),3,3
1955,St Joseph's Catholic School (Whakatane),17,13.3
1957,St Mary's Catholic School (Putaruru),10,9.7
1958,St Mary's Catholic School (Rotorua),20,18.6
1959,St Mary's Catholic School (Tauranga),20,18.6
1960,St Michael's Catholic School (Rotorua),10,9.8
1961,St Patrick's Catholic Sch (Taumarunui),7,6.16
1962,St Patrick's Catholic Sch (Te Awamutu),14,14
1963,St Paul's Catholic School (Ngaruawahia),9,8.7
1964,St Peter Chanel Catholic Sch (Te Rapa),15,14
1965,St Peter's Catholic School (Cambridge),9,8.3
1966,St Pius X Catholic School (Melville),10,8.5
1967,Stanley Avenue School,16,14.4
1968,Strathmore School,13,12.4
1970,Sunset Primary School,8,8
1971,Te Kura o Tahaaroa,2,2
1972,Tahuna School,4,3.6
1974,Tainui Full Primary School,22,20.06
1975,Tairua School,6,5.2
1976,Tamahere Model Country School,18,17.7
1978,Taneatua School,14,14
1980,Tapu School,3,2.6
1982,Tarrangower School,7,5.7
1983,Tatuanui School,6,6
1984,Tauhara School,12,10.4
1985,Tauhei Combined School,4,3.1
1986,Taumarunui Primary School,10,9.7
1987,Taupiri School,2,2
1988,Taupo Intermediate,27,27
1989,Taupo School,25,20.48
1990,Tauranga Intermediate,70,68.6
1991,Tauranga Primary School,32,27.13
1992,Gate Pa School,21,19.2
1994,Tauriko School,17,13.4
1995,Tauwhare School,9,8
1996,Tawera Bilingual School,4,3.6
1998,Te Akau School,3,2.5
1999,Te Aroha Primary School,10,9.2
2001,Te Awamutu Intermediate,30,26.6
2002,Te Awamutu Primary School,27,25.9
2005,Te Kauwhata Primary School,14,13.64
2007,Te Kowhai School,19,15.13
2008,Te Kuiti Primary School,17,16.4
2009,Te Mahoe School,4,4
2010,Te Mata School (Raglan),6,5
2011,TKKM o Te Matai,2,1.4
2012,Te Miro School,3,2.7
2013,Te Pahu School,8,7.5
2014,Te Poi School,3,2.04
2015,Te Puke Intermediate,26,25.04
2016,Te Puke Primary School,18,16.4
2017,Te Puna School,21,17
2019,Te Ranga School,6,6
2020,Te Rapa School,29,25.4
2021,Te Rerenga School,7,4.5
2023,Te Kura o Te Teko,10,10
2024,Te Uku School,10,9.2
2025,Te Waotu School,9,7.4
2027,Thames South School,13,13
2028,Thornton School,6,5.44
2031,Tirau Primary School,7,6.3
2032,Tirohanga School,3,2.2
2033,Tirohia School,6,4.9
2035,Tokoroa Central School,4,4
2036,Tokoroa East School (Closed),.,
2037,Tokoroa Intermediate,25,21.7
2038,Tokoroa North School,30,27.9
2040,Turaki School,19,17.74
2043,Turua Primary School,7,6.44
2044,Upper Atiamuri School,3,3
2045,Vardon School,24,22.6
2046,Waerenga School,8,5.6
2047,Te Kura o Waharoa,3,2.54
2048,Waihi Beach School,19,16.22
2049,Waihi East School,8,7.28
2050,Waihi Central School,12,10.9
2052,Waikaretu School,2,1.3
2054,Waikino School,4,4
2055,Waikite Valley School,5,5
2057,Waimana School,9,7.6
2058,Waimata School,3,2.6
2060,Waingaro School,3,2.3
2061,TKKM o Waioweka,3,3
2062,Te Kura Maori-a-Rohe o Waiohau,6,5.22
2063,Waiotahe Valley School,6,5.12
2064,Waipa School,20,18.8
2065,Waipahihi School,26,22.95
2066,Wairakei School,15,14
2068,Te Kura o Waitahanui,3,2.2
2069,Waitakaruru School,4,3.7
2070,Waiterimu School,4,2.44
2071,Waitetuna School,4,3
2072,Waitoa School,4,2.8
2073,Waitomo Caves School,4,2.49
2074,Walton School,7,5.8
2075,Wairere School,4,2.9
2076,Welcome Bay School,17,17
2077,Westbrook School,33,29.26
2078,Western Heights Primary School (Rotorua),23,22.1
2079,Whakamarama School,5,3.8
2080,Whakamaru School,6,5.9
2081,Te Kura o Te Whakarewarewa,5,5
2082,Whakatane Intermediate,35,35
2083,Whangamarino School,7,5
2084,Te Kura Mana Maori o Whangaparaoa,8,7.72
2086,Wharepapa South School,3,2.4
2087,Whatawhata School,7,6.2
2088,Whenuakite School,7,7
2089,Whitehall School,2,1.36
2090,Whitikahu School,5,4.7
2091,Whitiora School,10,10
2092,Woodlands School (Opotiki),5,5
2093,Woodstock School,31,25.86
2094,Marian Catholic School (Hamilton),42,33.9
2095,Kaponga School,6,6
2096,Crawshaw School,20,19.2
2097,Manaia School (Taranaki),10,9.6
2098,Matapu School,7,6
2099,Trentham School,22,19.5
2100,Koraunui School,20,18.7
2101,Tautoro School,6,6
2102,Maromaku School,3,2.5
2103,Moerewa School,22,20.8
2104,TKKM o Taumarere,9,8.12
2105,Awahono School - Grey Valley,7,6.2
2106,Paparoa Range School,9,7.8
2107,Geraldine Primary School,20,17.48
2108,Winchester Rural School,7,6.9
2109,Temuka Primary School,17,12.94
2110,Oceanview Heights School,13,12.52
2111,Grantlea Downs School,21,16.7
2112,Barton Rural School,9,7.8
2113,Bluestone School,34,31.1
2114,Beaconsfield School,7,7
2115,Timaru South School,18,16.11
2116,New River Primary,14,13.2
2117,Fernworth Primary School,27,23.8
2118,Newfield Park School,20,17.9
2119,Donovan Primary School,16,14.86
2120,Bluff Community School,7,7
2123,Lake Brunner School,4,3.9
2150,Ahititi School,3,2.8
2152,Auroa School,11,9.9
2153,Avon School,4,3.56
2157,Bell Block School,17,17
2160,Central School,16,13.3
2161,Devon Intermediate,23,20.8
2164,Egmont Village School,8,6.02
2165,Eltham School,13,13
2167,Fitzroy School,18,15.74
2168,Frankley School,11,11
2170,Hawera Intermediate,22,20
2171,Hawera Primary School,15,14
2172,Highlands Intermediate,33,30.8
2173,Huiakama School,2,1.3
2175,Huirangi School,4,3.8
2177,Inglewood School,17,15.6
2178,Kaimata School,6,5.64
2182,Lepperton School,9,7.7
2185,Makahu School,2,1.6
2189,Mangorei School,14,11
2190,Manukorihi Intermediate,13,12.2
2191,Marco School,1,1
2192,Marfell School,12,10.68
2195,Matiere School,3,2.3
2197,Merrilands School,9,8.05
2198,Midhirst School,4,4
2199,Mimi School,6,3.8
2200,Mokau School,5,2.8
2201,Mokoia School,1,1
2203,Moturoa School,6,6
2205,Ngaere School,10,8
2206,Norfolk School,7,6.7
2207,Normanby School,8,7.4
2208,Oakura School,13,12.5
2211,Ohangai School,3,2.4
2214,Omata School,9,7.7
2215,Ongarue School,1,1
2216,Opunake School,11,11
2220,Pembroke School,5,3.62
2223,Puketapu School (New Plymouth),14,12.6
2226,Ramanui School,7,6.5
2227,Ratapiko School,2,1.4
2228,Rawhitiroa School,3,2.5
2232,Spotswood Primary School,22,18.44
2233,St John Bosco School (New Plymouth),13,12.4
2235,St Joseph's School (Hawera),16,14
2236,St Joseph's School (New Plymouth),14,11.11
2237,St Joseph's School (Opunake),8,7.2
2238,St Joseph's School (Stratford),13,11.86
2239,St Joseph's School (Waitara),11,10.8
2240,St Patrick's School (Kaponga),3,2.4
2241,St Patrick's School (Inglewood),4,4
2242,St Pius X School (New Plymouth),7,6.4
2244,Stratford School,24,22.17
2248,Tawhiti School,11,11
2251,Tikorangi School,7,7
2253,Tokirima School,2,1.2
2254,Toko School,6,5.3
2255,Turuturu School,14,12.4
2256,Urenui School,5,5
2257,Uruti School,2,1.3
2258,Vogeltown School,13,12.3
2260,Waitara Central School,11,10.5
2261,Waitara East School,15,13.3
2262,Waitoriki School,2,1.3
2264,Welbourn School,18,16.6
2265,West End School (New Plymouth),20,17.18
2266,Westown School,16,13.7
2267,Whareorino School,1,1
2268,Woodleigh School,21,17.5
2330,Aberfeldy School,4,3
2332,Aokautere School,5,4
2333,Apiti School,2,2
2334,Arahunga School,34,19.3
2335,Aramoho School,5,4
2336,Aranui School (Wanganui),7,6.4
2337,Ashhurst School,22,20.1
2338,Awahou School,5,4.08
2339,Awapuni School (P.North),6,5.6
2341,Bainesse School,4,2.6
2342,Brunswick School,4,3.7
2343,Bulls School,11,9.9
2344,Bunnythorpe School,5,3.98
2345,Carlton School,15,15
2346,Castlecliff School,7,6.8
2347,Cheltenham School,4,2.3
2348,Churton School,10,8
2349,Clifton School (Bulls),7,6.8
2350,Cloverlea School,14,13.4
2351,TKKM o Otepoti,3,2.16
2352,Coley Street School,18,15.16
2353,College Street Normal School,34,29.75
2354,Colyton School,5,4.4
2355,Durie Hill School,13,12.5
2356,Feilding Intermediate,19,21.7
2357,Fordell School,4,3
2358,Foxton Beach School,7,6.2
2359,Foxton School,6,6
2360,Glen Oroua School,4,3.82
2361,Gonville School,13,12.3
2362,Halcombe Primary School,7,7
2363,Somerset Crescent School,14,13.1
2364,Hiwinui School,5,5
2365,Hokowhitu School,20,18.86
2366,Hunterville Consolidated School,9,9
2367,Hurleyville School,2,1.2
2368,James Cook School,12,8.9
2369,Kai Iwi School,8,7.54
2370,Kairanga School,12,8.9
2371,Kaitieke School,1,1
2372,Kaitoke School (Wanganui),7,6.2
2373,Kakahi School,2,2
2374,Kakaramea School,5,4.2
2375,Kakatahi School,2,1.28
2377,TKKM o Tupoho,14,13
2378,Keith Street School,14,13.6
2379,Kimbolton School,5,3.9
2380,Kirikau School,2,1.3
2382,Kiwitea School,3,2.5
2383,TKKM o Ngati Ruanui,4,3.4
2384,Kokohuia School,11,9.72
2385,Kopane School,3,2.48
2386,Linton Camp School,10,9.4
2387,Linton Country School,3,2.3
2388,Longburn School,5,3.6
2389,Lytton Street School,32,26.84
2390,Manchester Street School,26,21.43
2391,Mangamahu Primary School,2,1.3
2392,Mangaweka School,2,1.4
2393,Manunui School,5,4.1
2395,St Marcellin School (Wanganui),10,9.18
2396,Marton Junction School,7,7
2397,Marton School,15,13.42
2398,Mataroa School,3,2.8
2400,Milson School,18,16.77
2401,Moawhango School,2,2
2402,Monrad Intermediate,22,21.4
2403,Mosston School,10,7.87
2404,Mount Biggs School,5,4.8
2405,National Park School,3,3
2406,Newbury School,10,8.48
2407,Ngamatapouri School,2,1.3
2408,Ngamatea School,1,1
2409,North Street School,19,18.44
2410,Ohakune School,17,14.2
2412,Okoia School,3,2.8
2413,Orautoha School,2,1.2
2414,Oroua Downs School,5,5
2415,Otairi School (Closed),.,
2416,Our Lady of Lourdes School (P North),7,7
2417,Owhango School,4,3.5
2418,Central Normal School,35,31.74
2419,Palmerston North Intermediate,39,36.48
2420,Papanui Junction School,2,1.3
2424,Parkland School (P North),13,13
2428,Pukeokahu School,2,1.4
2429,Raetihi Primary School,6,6
2434,Rangiwaea School,3,2.5
2435,Rangiwahia School,3,2.2
2436,Te Kura o Ratana,7,5
2437,Riverdale School (P North),22,19.5
2438,Rongotea School,5,5
2439,Roslyn School,25,23.5
2440,Ross Intermediate,32,31.04
2441,Russell Street School,20,17
2442,Rutherford Junior High School,13,13
2443,Sanson School,3,3
2445,TKKM o Ngati Kahungunu Ki Heretaunga,19,18.19
2446,South Makirikiri School,7,7
2447,St Anne's School (Wanganui),13,12.2
2449,St James School (P North),15,13.17
2450,St John's Hill School,20,18
2451,St Joseph's School (Feilding),8,7.2
2452,St Joseph's School (Patea),3,2.6
2453,St Joseph's School (Taihape),7,6.2
2454,St Mary's School (Wanganui),11,10.4
2455,St Mary's School (Foxton),4,3.5
2456,St Matthew's School (Marton),5,4
2457,St Mary's School (P North),9,8.4
2460,Takaro School,13,11.9
2461,Tangimoana School,2,1.3
2462,Taonui School,3,2.68
2463,Taoroa School,2,1.3
2465,Tawhero School,18,16.6
2466,Terrace End School,8,7.1
2467,Tiritea School,9,7.5
2468,Turakina School,5,3.88
2469,Upokongaro School,2,1.6
2472,Waiouru School,7,7
2474,Waitotara School,3,3
2475,Waituna West School,3,2.4
2476,Wanganui East School,11,10.5
2477,Wanganui Intermediate,33,31
2478,Waverley Primary School,9,9
2479,West End School (P North),28,21.48
2480,Westmere School (Wanganui),14,11.95
2481,Whakarongo School,20,17.74
2482,Whangaehu School,1,1
2483,Whenuakura School,4,3.21
2484,Winchester School (P North),19,17.25
2542,Argyll East School,4,3.8
2543,Arthur Miller School,17,15.28
2544,Awapuni School (Gisborne),22,20.06
2546,Bledisloe School,20,15.36
2547,Bridge Pa School,4,3.6
2548,Camberley School,11,10.9
2549,Clive School,11,10.2
2550,Cobham School,5,4.4
2551,Crownthorpe School,3,2.32
2553,Dannevirke South School,19,16.1
2554,Ebbett Park School,10,8.2
2555,Elgin School,7,6.7
2556,Elsthorpe School,4,2.6
2557,Eskdale School,10,9.5
2558,Fairhaven School (Napier),21,19.8
2560,Flaxmere Primary School,37,33
2561,Flemington School (Waipukurau),5,4.28
2562,Frasertown School,5,5
2563,Frimley School,33,28.9
2564,Gisborne Central School,21,19.6
2565,Te Kainga Whaiora Children's Health Camp (Closed),.,
2566,Gisborne Intermediate,30,27.62
2567,Greenmeadows School,20,18.56
2569,Hastings Central School,12,10.6
2570,Hastings Intermediate,36,34.26
2571,Haumoana School,12,9.06
2572,Havelock North Intermediate,28,26.82
2573,Havelock North Primary School,23,18.96
2574,Henry Hill School,20,18
