^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
1266,Edmonton School,09 8389318,09 8389318,office@edmonton-primary.school.nz,Margaret Samson,http://www.edmonton-primary.school.nz,Edmonton Road,Te Atatu South,Auckland,1 School Road,Te Atatu South,Auckland,0610,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Edmonton,Waitakere Ward,174.642282,-36.865667,4,249,53,61,60,67,5,3,0
1267,Edmund Hillary School,09 2989132,09 2988039,admin@edmundhillary.school.nz,Kataraina Nock,,Hunua Road,,Papakura,PO Box 2721515,,Papakura,2244,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Papakura,Auckland Region,Auckland South,Auckland,Papakura,Hauraki-Waikato,Papakura South,Manurewa-Papakura Ward,174.95773,-37.067381,1,153,5,83,64,0,0,1,0
1268,Ellerslie School,09 5795477,09 5792821,postmaster@ellerslie.school.nz,Christopher Magner,http://www.ellerslie.school.nz,12 Kalmia Street,Ellerslie,Auckland,12 Kalmia Street,Ellerslie,Auckland,1051,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Maungakiekie,Tamaki Makaurau,Ellerslie South,Maungakiekie-Tamaki Ward,174.805733,-36.898634,7,598,309,49,71,137,16,16,0
1269,Elm Park School,09 5770070,09 5761110,secretary@elmpark.school.nz,Patricia Plowright,http://www.elmpark.school.nz,46 Gossamer Drive,Pakuranga Heights,Auckland,46 Gossamer Drive,Pakuranga Heights,Manukau,2010,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Pakuranga East,Howick Ward,174.889952,-36.910383,6,548,188,94,60,178,27,1,0
1270,Epsom Normal School,09 6305144,09 6300972,office@epsomnormal.school.nz,Jane Cavanagh-Eyre,http://www.epsomnormalprimary.school.nz/,41 The Drive,Epsom,Auckland,41 The Drive,Epsom,Auckland,1023,Main Urban Area,Contributing,Normal School (Model Classes),State: Not integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Epsom,Tamaki Makaurau,Epsom Central,Albert-Eden-Roskill Ward,174.770541,-36.890747,9,664,157,14,12,454,22,5,0
1271,Fairburn School,09 2701130,09 2701139,admin@fairburn.school.nz,Frances Nelson,http://www.fairburn.school.nz,Pukeora Road,Otahuhu,Auckland,10 Pukeora Road,Otahuhu,Auckland,1062,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Fairburn,Manukau Ward,174.849834,-36.947799,2,684,13,134,373,153,11,0,0
1272,Farm Cove Intermediate,09 577 0009,09 5769289,enquiries@farmcove.school.nz,Linda Harvie,http://www.farmcove.school.nz,16 Butley Drive,Pakuranga,Auckland,16 Butley Drive,Farm Cove,Auckland,2012,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Pakuranga North,Howick Ward,174.891,-36.896484,8,605,277,42,30,203,28,9,16
1273,Favona School,09 2758449,09 2751855,sheryln@favona.school.nz,Lois Kirkbride,http://www.favona.school.nz,Wakefield Road,Favona,Auckland,Wakefield Road,Favona,Auckland,2024,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Favona North,Manukau Ward,174.806963,-36.953953,1,500,2,97,357,38,6,0,0
1274,Ferguson Intermediate (Otara),09 2748471,09 2746564,office@fergusonint.school.nz,Jenny Leach,http://fergusonint.school.nz/,Ferguson Road,Otara,Auckland,PO Box 58383,Botany,Manukau,2163,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Ferguson,Manukau Ward,174.882443,-36.964274,1,467,2,85,374,4,1,1,0
1275,Finlayson Park School,09 2665558,09 2673332,principal@finlaysonpark.school.nz,Shirley Maihi,http://www.finlaysonpark.school.nz,85 John Walker Drive,Manurewa,Auckland,85 John Walker Drive,Manurewa,Manukau,2102,Main Urban Area,Contributing,Bilingual Year 7-8 School,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Rowandale,Manurewa-Papakura Ward,174.871991,-37.032006,1,1014,8,488,473,42,3,0,0
1276,Flanshaw Road School,09 8347224,09 8347224,denise@flanshawroad.school.nz,Cherie Taylor-Patel,http://www.flanshawroad.school.nz,51 Flanshaw Road,Te Atatu South,Auckland,51 Flanshaw Road,Te Atatu South,Waitakere,0610,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Wakeling,Waitakere Ward,174.645463,-36.860805,5,401,122,104,98,62,13,0,2
1277,Flat Bush School,09 2748279,09 2748947,principal@flatbush.school.nz,Patrick Chamley,http://www.flatbush.school.nz,Flat Bush Road,Otara,Auckland,20 Flat Bush Road,Otara,Manukau,2023,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Otara South,Manukau Ward,174.883673,-36.97529,1,357,1,75,281,0,0,0,0
1278,Forrest Hill School,09 4108939,09 4108988,admin@forresthill.school.nz,Enid Watson,http://www.forresthill.school.nz,50 Forrest Hill Road,Forrest Hill,Auckland,50 Forrest Hill Road,Forrest Hill,North Shore City,0620,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Forrest Hill,North Shore Ward,174.749433,-36.773717,9,455,197,20,27,189,13,2,7
1279,Freemans Bay School,09 3601572,09 3787866,admin@freemansbay.school.nz,Sandra Jenkins,http://www.freemansbay.school.nz,Wellington Street,Freemans Bay,Auckland,95 Wellington Street,Freemans Bay,Auckland,1011,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Auckland Central,Tamaki Makaurau,Freemans Bay,Waitemata and Gulf Ward,174.752809,-36.852048,6,489,131,75,42,185,37,3,16
1280,Freyberg Community School,09 8389664,09 8389637,admin@freyberg.school.nz,Christine Wilson,http://www.freyberg.school.nz,Roberts Road,Te Atatu South,Auckland,60 Roberts Road,Te Atatu South,Waitakere,0610,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Mcleod,Waitakere Ward,174.651176,-36.871038,6,385,141,78,50,100,14,2,0
1281,Fruitvale Road School,09 8272752,09 8271205,office@fruitvale.school.nz,Donal McLean,http://www.fruitvale.school.nz,9 Croydon Road,New Lynn,Auckland,9 Croydon Road,New Lynn,Waitakere,0600,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland North,Auckland,New Lynn,Tamaki Makaurau,Fruitvale,Whau Ward,174.667362,-36.915651,4,219,50,46,64,46,13,0,0
1282,Gladstone School (Auckland),09 8469744,09 8468874,info@gladstone.school.nz,David Shadbolt,http://www.gladstone.school.nz,8 Seaview Terrace,Mount Albert,Auckland,8 Seaview Terrace,Mount Albert,Auckland,1025,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,174.71247,-36.880183,8,906,537,54,66,192,38,15,4
1283,Glamorgan School,09 4736453,09 4736780,,Janet Pinchen,http://www.glamorgan.school.nz,Glamorgan Drive,Torbay,Auckland,Glamorgan Drive,Torbay,North Shore City,0630,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Auckland,East Coast Bays,Te Tai Tokerau,Glamorgan,Albany Ward,174.735313,-36.702673,10,531,387,55,13,42,24,7,3
1284,Glen Eden Intermediate,09 8170032,09 8170034,jennym@geis.school.nz,Terry Hewetson,http://www.geis.school.nz,Kaurilands Road,Titirangi,Auckland,23 Kaurilands Road,Titirangi,Waitakere,0604,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Kaurilands,Waitakere Ward,174.652547,-36.924551,8,1018,623,147,107,82,27,15,17
1285,Glen Eden School,09 8186686,09 8186047,office@geps.school.nz,Linda Mayow,http://www.geps.school.nz,3 Glenview Road,Glen Eden,Auckland,3 Glenview Road,Glen Eden,Waitakere,0602,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Auckland,Kelston,Tamaki Makaurau,Glen Eden East,Waitakere Ward,174.652086,-36.90865,4,392,72,100,142,55,20,3,0
1287,Glen Innes School,09 5283507,09 5283109,admin@gleninnes.school.nz,Jonathan Hendricks,http://www.gleninnes.school.nz,Eastview Road,Glen Innes,Auckland,PO Box 18134,Glen Innes,Auckland,1743,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes West,Maungakiekie-Tamaki Ward,174.857045,-36.87415,1,215,6,48,152,5,3,1,0
1289,Glen Taylor School,09 5286325,09 5211779,office@glentaylor.school.nz,Linda Avery,http://www.glentaylor.school.nz,172 West Tamaki Road,Glendowie,Auckland,172 West Tamaki Road,Glen Innes,Auckland,1072,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,174.863975,-36.869826,1,236,7,64,126,35,4,0,0
1290,Glenavon School,09 8287029,09 8205174,office@glenavon.school.nz,Phil Toomer,http://www.glenavon.school.nz,340 Blockhouse Bay Road,Blockhouse Bay,Auckland,340 Blockhouse Bay Road,Avondale,Auckland,0600,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland South,Auckland,New Lynn,Tamaki Makaurau,Glenavon,Whau Ward,174.701981,-36.909858,2,219,7,28,149,23,10,2,0
1291,Glenbrae Primary School,09 5285025,09 5288405,office@glenbrae.school.nz,Lesley Elia,http://www.glenbrae.school.nz,103 Leybourne Circle,Glen Innes,Auckland,103 Leybourne Circle,Glen Innes,Auckland,1072,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes East,Maungakiekie-Tamaki Ward,174.870065,-36.873361,1,188,3,45,137,0,3,0,0
1292,Glenbrook School,09 2353888,09 2353999,admin@glenbrook.school.nz,Mark Elder,http://www.glenbrook.school.nz,459 Glenbrook-Waiuku Road,Glenbrook,Waiuku,459 Glenbrook-Waiuku Road,RD 1,Waiuku,2681,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Glenbrook,Franklin Ward,174.75142,-37.204955,8,252,197,36,6,12,1,0,0
1293,Glendene School,09 8388603,09 8387557,office@glendene.school.nz,Robyn Dunseath,http://wwww.glendene.school.nz,60 Barrys Road,Glendene,Auckland,60 Barrys Road,Glendene,Waitakere,0602,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Kelston,Te Tai Tokerau,Glendene North,Waitakere Ward,174.655175,-36.886855,3,147,14,52,69,9,3,0,0
1294,Glendowie School,09 5757374,09 5757374,office@glendowie.school.nz,Anne-Marie Biggs,http://www.glendowie.school.nz/,217 Riddell Road,Glendowie,Auckland,217 Riddell Road,Glendowie,Auckland,1071,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Orakei,Auckland Region,Auckland South,Auckland,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,174.87568,-36.863143,9,656,482,29,12,89,12,12,20
1295,Glenfield Intermediate,09 4446582,09 4434528,enquiries@glenfieldint.school.nz,Raewyn Matthys-Morris,http://glenfieldint.ultranet.school.nz,138 Chivalry Road,Glenfield,Auckland,138 Chivalry Road,Glenfield,Auckland,0629,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Glenfield North,North Shore Ward,174.732175,-36.779792,6,327,122,38,34,117,10,0,6
1296,Glenfield Primary School,09 4418730,09 4418731,office@glenfield.school.nz,Christine Cooper,http://www.glenfield.school.nz,101 Chivalry Road,Glenfield,Auckland,101 Chivalry Road,Glenfield,North Shore City,0629,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Kaipatiki,Auckland Region,Auckland North,Auckland,Northcote,Te Tai Tokerau,Glenfield Central,North Shore Ward,174.727633,-36.779642,6,282,65,22,26,144,21,3,1
1297,Good Shepherd School (Balmoral),09 6204962,09 6204963,admin@goodshepherd.school.nz,Jane Hahn,http://www.goodshepherd.school.nz,30 Telford Avenue,Balmoral,Auckland,30 Telford Avenue,Mount Eden,Auckland,1041,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Auckland- Albert-Eden,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Maungawhau,Albert-Eden-Roskill Ward,174.743509,-36.891182,8,239,120,20,50,42,4,3,0
1298,Green Bay Primary School,09 8176666,09 8174336,admin@greenbay.school.nz,Judith Black,http://www.greenbay.school.nz/Home/,131 Godley Road,Green Bay,Auckland,PO Box 80070,Green Bay,Waitakere,0604,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Whau,Auckland Region,Auckland North,Auckland,New Lynn,Tamaki Makaurau,Green Bay,Whau Ward,174.672668,-36.931682,7,542,310,62,52,97,14,1,6
1299,Greenhithe School,09 4139838,09 4138440,office@greenhithe.school.nz,Peter Marshall,http://www.greenhithe.school.nz,Isobel Road,Greenhithe,Auckland,Isobel Road,Greenhithe,North Shore City,0632,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Upper Harbour,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Greenhithe,Albany Ward,174.675395,-36.774022,10,554,473,26,8,35,4,5,3
1300,Greenmeadows Intermediate,09 2676255,09 2680159,gis@greenmeadows.school.nz,Cathryn Chalmers,http://www.greenmeadows.school.nz,29 Greenmeadows Avenue,Manurewa,Auckland,29 Greenmeadows Avenue,Manurewa,Auckland,2102,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Manurewa East,Manurewa-Papakura Ward,174.906355,-37.029261,3,346,51,127,100,58,10,0,0
1301,Grey Lynn School,09 3763255,09 3768407,info@greylynn.school.nz,William Barker,http://www.greylynn.school.nz/,44 Surrey Crescent,Grey Lynn,Auckland,44 Surrey Crescent,Grey Lynn,Auckland,1021,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitemata,Auckland Region,Auckland South,Auckland,Mt Albert,Tamaki Makaurau,Surrey Crescent,Waitemata and Gulf Ward,174.735488,-36.863128,7,367,273,19,55,20,0,0,0
1302,Halsey Drive School,09 6279106,09 6279964,admin@halseydrive.school.nz,Cheryl Davies-Crook,http://www.halseydrive.school.nz,106 Halsey Drive,Lynfield,Auckland,106 Halsey Drive,Lynfield,Auckland,1042,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Lynfield South,Albert-Eden-Roskill Ward,174.719184,-36.93271,9,507,94,24,26,345,16,2,0
1303,Harrisville School,09 2368795,09 2369719,office1@harrisville.school.nz,Kristin Burden,http://www.harrisville.school.nz/,202 Harrisville Road,,Tuakau,202 Harrisville Road,,Tuakau,2121,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Auckland South,Auckland,Waikato,Hauraki-Waikato,Buckland South,Awaroa ki Tuakau Ward,174.951571,-37.239972,5,193,118,56,13,6,0,0,0
1304,Hauraki School,09 4894568,09 4894579,office@hauraki.school.nz,Clarinda Franklin,http://www.hauraki.school.nz/,82 Jutland Road,Takapuna,Auckland,82 Jutland Road,Hauraki,North Shore City,0622,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,Auckland,North Shore,Te Tai Tokerau,Hauraki,North Shore Ward,174.77445,-36.803869,10,435,335,26,9,50,9,1,5
1305,Hay Park School,09 6259531,09 6259552,office@haypark.school.nz,Margaret Aikman,http://www.haypark.school.nz,670 Richardson Road,Mount Roskill,Auckland,670 Richardson Road,Mount Roskill,Auckland,1041,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Hillsborough West,Albert-Eden-Roskill Ward,174.744285,-36.92368,2,164,7,18,102,27,9,1,0
1306,Helensville School,09 4208005,09 4208023,clairec@helensville.school.nz,Eileen Brunton,http://www.helensville.school.nz/,29 Rata Street,,Helensville,29 Rata Street,,Helensville,0800,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Helensville,Te Tai Tokerau,Helensville,Rodney Ward,174.453861,-36.679301,5,457,332,88,19,11,3,3,1
1307,Henderson Intermediate,09 8388529,09 8366932,office@hendersonint.school.nz,Donald Dale,http://www.hendersonint.school.nz,70 Lincoln Road,Henderson,Waitakere,70 Lincoln Road,Henderson,Waitakere,0610,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.627984,-36.867743,3,557,113,148,210,64,16,1,5
1308,Henderson North School,09 8388229,09 8371678,office@hns.school.nz,Irene Ogden,http://www.hns.school.nz,Norval Road,Henderson,Auckland,14 Norval Road,Henderson,Waitakere,0610,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,174.626326,-36.869725,3,445,79,130,120,97,19,0,0
1309,Henderson School,09 8389667,09 8385846,julies@hendersonprimary.school.nz,Keith Tetzlaff,http://www.hendersonprimary.school.nz,Montel Avenue,Henderson,Auckland,11B Montel Avenue,Henderson,Waitakere,0612,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,174.636279,-36.881193,3,183,29,38,73,34,8,1,0
1310,Henderson South School,09 8388766,09 8374336,principal@hendersonsouth.school.nz,Trevor Diamond,http://www.hendersonsouth.school.nz,Garelja Road,Henderson,Auckland,PO Box 21165,Henderson,Waitakere,0650,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,174.622353,-36.888586,2,307,14,86,188,11,8,0,0
1311,Henderson Valley School,09 8397010,09 8386439,office@hendersonvalley.school.nz,Maree Stavert,http://www.hendersonvalley.school.nz,389 Henderson Valley Road,Henderson,Auckland,389 Henderson Valley Road,Henderson Valley,Waitakere,0612,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Auckland,Helensville,Tamaki Makaurau,Opanuku,Waitakere Ward,174.59229,-36.899044,5,410,247,81,33,36,12,1,0
1312,Hillpark School,09 2676252,09 2679466,office@hillpark.school.nz,Gavin Beere,http://www.hillpark.school.nz,57 Grande Vue Road,Manurewa,Auckland,57 Grande Vue Road,Manurewa,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Hillpark,Manurewa-Papakura Ward,174.899472,-37.014104,6,515,162,123,97,116,16,1,0
1313,Hillsborough School,09 6257307,09 6257347,principal@hps.school.nz,Nicola Girling,http://www.hps.school.nz/,Belfast Street,Hillsborough,Auckland,18 Belfast Street,Hillsborough,Auckland,1042,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Puketapapa,Auckland Region,Auckland South,Auckland,Mt Roskill,Tamaki Makaurau,Hillsborough East,Albert-Eden-Roskill Ward,174.757733,-36.923253,9,394,156,27,48,141,20,2,0
1314,Hobsonville School,09 4168619,09 4166645,,Dorothy Doherty,http://www.hobsonville.school.nz,104 Hobsonville Road,Hobsonville,Auckland,104 Hobsonville Road,Hobsonville,Waitakere,0618,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Upper Harbour,Auckland Region,Auckland North,Auckland,Upper Harbour,Te Tai Tokerau,Hobsonville East,Albany Ward,174.637212,-36.805129,9,635,369,88,42,118,14,4,0
1315,Holy Cross School (Papatoetoe),09 2788224,09 2792140,office@hcsp.school.nz,Bruce Young,http://www.hcsp.school.nz/,Carruth Road,Papatoetoe,Auckland,PO Box 23033,Hunters Corner,Manukau,2155,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Auckland,Manukau East,Tamaki Makaurau,Papatoetoe Central,Manukau Ward,174.860421,-36.979569,2,609,45,58,413,57,36,0,0
1316,Holy Cross Catholic School (Henderson),09 8388802,09 8371467,admin@holycross.school.nz,Janice Borsos,http://www.holycross.school.nz,8 Lavelle Road,Henderson,Auckland,8 Lavelle Road,Henderson,Auckland,0612,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Auckland- Henderson-Massey,Auckland Region,Auckland North,Auckland,Te Atatu,Te Tai Tokerau,Henderson South,Waitakere Ward,174.636365,-36.886969,4,386,37,27,155,135,23,9,0
1317,Homai School,09 2668918,09 2664282,office@homai.school.nz,Rosina Wikaira,http://www.schoolground.co.nz/homai,89 Browns Road,Manurewa,Auckland,89 Browns Road,Manurewa,Manukau,2102,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Manurewa,Auckland Region,Auckland South,Auckland,Manurewa,Tamaki Makaurau,Wiri,Manurewa-Papakura Ward,174.880252,-37.01243,2,298,7,122,130,36,2,1,0
1318,Howick Intermediate,09 5343922,09 5349223,,Neetha Mudhan,http://www.howickint.school.nz/,Botany Road,Howick South,Auckland,Botany Road,Howick,Manukau,2010,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Highland Park,Howick Ward,174.918246,-36.89969,5,383,96,48,110,94,28,5,2
1319,Howick Primary School,09 5346082,09 534 9710,a.kawana@howickprimary.school.nz,Leyette Callister,http://www.howickprimary.school.nz,Willoughby Avenue,Howick West,Auckland,PO Box 82015,Highland Park,Manukau,2143,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Howick,Auckland Region,Auckland South,Auckland,Pakuranga,Tamaki Makaurau,Howick West,Howick Ward,174.915936,-36.897739,8,297,139,34,27,72,15,7,3
1320,Huapai District School,09 4125042,09 4125044,office@huapaidistrict.school.nz,Kevin Cronin,http://www.huapaidistrict.school.nz,40 Station Road,,Huapai,40 Station Road,Huapai,Kumeu,0810,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Helensville,Te Tai Tokerau,Huapai,Rodney Ward,174.536945,-36.774074,9,434,355,29,9,19,8,3,11
1321,Hunua School,09 2924889,09 2924989,office@hunua.school.nz,Heather Frost,http://www.hunua.school.nz/,Lockwood Road,,Papakura,Lockwood Road,RD 3,Papakura,2583,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Auckland- Franklin,Auckland Region,Auckland South,Auckland,Hunua,Hauraki-Waikato,Hunua,Franklin Ward,175.074808,-37.079793,7,115,85,21,0,4,4,1,0
1322,Jean Batten School,09 2755733,09 2755737,jbs@jeanbatten.school.nz,Jeffrey Bruce,http://www.jeanbatten.co.nz,6 Imrie Avenue,Mangere,Auckland,6 Imrie Avenue,Mangere,Manukau,2022,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Auckland,Mangere,Tamaki Makaurau,Mascot,Manukau Ward,174.814316,-36.973939,2,457,3,67,356,24,5,2,0
1323,Kaiaua School,09 2322723,09 2322723,kaiaua@kaiaua.schoolzone.net.nz,Sally Rossi,,Coast Road,,Pokeno,East Coast Road,RD 3,Pokeno,2473,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Hauraki District,Waikato Region,Auckland South,Auckland,Coromandel,Hauraki-Waikato,Kaiaua,Plains Ward,175.298105,-37.09972,5,45,25,19,0,0,1,0,0
1324,Kaipara Flats School,09 4225819,09 4225821,jank@kaiparaflats.school.nz,Cameron Lockie,http://www.kaiparaflats.school.nz,20 School Road RD 4,,Warkworth,20 School Road,RD 4,Warkworth,0984,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Auckland- Rodney,Auckland Region,Auckland North,Auckland,Rodney,Te Tai Tokerau,Tauhoa-Puhoi,Rodney Ward,174.545885,-36.408373,9,83,69,9,1,2,2,0,0
